"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2018","EQ","302.90","303.70","286.10","304.00","291.15","290.65","295.12","328.75","127.35","5,397,599","1,592,924,777.55","38,078"
"30-Jan-2018","EQ","300.95","307.30","299.45","301.80","304.00","304.00","303.90","328.75","127.35","2,590,100","787,139,769.20","20,899"
"29-Jan-2018","EQ","305.25","306.80","300.70","304.25","301.30","301.80","303.82","328.75","127.35","1,806,919","548,976,800.20","13,614"
"25-Jan-2018","EQ","304.00","311.25","301.65","304.25","305.30","304.25","306.28","328.75","126.60","3,631,793","1,112,341,452.05","21,767"
"24-Jan-2018","EQ","306.00","310.70","302.80","307.20","303.70","304.25","305.62","328.75","126.60","2,154,759","658,536,723.05","16,372"
"23-Jan-2018","EQ","310.70","310.70","304.05","308.85","307.70","307.20","307.07","328.75","126.60","4,416,130","1,356,072,223.15","27,394"
"22-Jan-2018","EQ","307.05","314.95","306.60","308.35","309.00","308.85","310.27","328.75","126.60","3,278,437","1,017,194,250.85","24,514"
"19-Jan-2018","EQ","306.00","310.00","300.95","305.45","309.90","308.35","306.12","328.75","126.00","3,653,286","1,118,330,554.00","30,635"
"18-Jan-2018","EQ","315.05","315.75","301.40","313.55","304.50","305.45","308.12","328.75","126.00","3,408,593","1,050,265,143.85","28,222"
"17-Jan-2018","EQ","313.85","317.00","307.55","316.40","314.05","313.55","313.08","328.75","126.00","3,742,677","1,171,745,506.10","22,661"
"16-Jan-2018","EQ","323.00","326.90","311.45","323.00","317.60","316.40","318.60","328.75","126.00","4,683,847","1,492,272,142.90","35,141"
"15-Jan-2018","EQ","327.70","328.75","321.65","325.75","323.70","323.00","325.32","328.75","126.00","4,519,030","1,470,150,829.05","45,622"
"12-Jan-2018","EQ","315.05","328.35","315.00","313.30","325.95","325.75","322.03","328.35","123.80","14,484,043","4,664,339,298.80","83,642"
"11-Jan-2018","EQ","314.00","316.70","311.80","314.10","313.10","313.30","313.41","319.65","123.80","3,481,728","1,091,198,832.65","21,523"
"10-Jan-2018","EQ","315.00","319.10","312.55","315.30","314.25","314.10","315.57","319.65","123.80","2,517,494","794,449,170.20","18,519"
"09-Jan-2018","EQ","317.60","319.65","314.00","317.60","314.70","315.30","316.41","319.65","123.80","2,411,068","762,880,154.85","21,448"
"08-Jan-2018","EQ","314.65","319.20","312.20","312.95","317.45","317.60","315.64","319.20","123.80","2,171,903","685,532,216.15","17,249"
"05-Jan-2018","EQ","312.30","315.85","310.35","312.25","312.85","312.95","313.09","318.00","121.35","1,896,601","593,815,638.15","21,965"
"04-Jan-2018","EQ","312.00","313.50","307.25","311.20","312.30","312.25","309.94","318.00","121.35","2,703,849","838,041,178.55","21,654"
"03-Jan-2018","EQ","311.90","315.15","310.15","311.15","310.95","311.20","312.05","318.00","121.35","2,073,353","646,992,287.00","17,176"
"02-Jan-2018","EQ","314.30","314.95","307.55","312.90","310.70","311.15","310.38","318.00","121.35","2,014,415","625,242,002.10","13,041"
"01-Jan-2018","EQ","317.75","317.80","311.80","316.40","313.45","312.90","314.49","318.00","121.35","1,602,814","504,075,391.25","11,239"
