"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2019","EQ","321.40","326.00","319.60","321.40","321.25","321.35","323.09","330.05","177.05","2,616,389","845,328,411.35","28,386"
"30-Dec-2019","EQ","318.45","322.75","317.05","318.45","320.90","321.40","320.21","330.05","177.05","2,910,244","931,875,148.60","23,433"
"27-Dec-2019","EQ","314.00","319.50","313.00","312.90","317.80","318.45","316.76","330.05","177.05","2,357,762","746,851,605.35","26,492"
"26-Dec-2019","EQ","315.00","319.70","312.05","315.35","313.25","312.90","316.18","330.05","177.05","3,323,173","1,050,717,092.10","31,928"
"24-Dec-2019","EQ","315.05","318.40","312.50","314.90","314.60","315.35","315.45","330.05","177.05","1,933,222","609,844,093.50","23,352"
"23-Dec-2019","EQ","318.20","322.90","313.70","312.65","314.65","314.90","318.15","330.05","177.05","6,065,714","1,929,824,757.10","61,451"
"20-Dec-2019","EQ","313.35","315.00","311.25","313.95","313.20","312.65","313.20","330.05","177.05","1,799,384","563,565,122.70","17,048"
"19-Dec-2019","EQ","312.40","316.35","309.10","312.35","314.00","313.95","312.56","330.05","177.05","5,360,691","1,675,541,631.10","36,805"
"18-Dec-2019","EQ","325.00","326.45","304.60","325.15","313.25","312.35","317.06","330.05","177.05","4,790,723","1,518,934,509.90","41,016"
"17-Dec-2019","EQ","323.80","329.90","322.55","322.25","326.50","325.15","326.76","330.05","177.05","2,918,086","953,501,573.95","28,234"
"16-Dec-2019","EQ","329.00","329.40","320.55","328.05","322.90","322.25","325.41","330.05","177.05","2,144,758","697,925,451.10","18,684"
"13-Dec-2019","EQ","323.90","330.05","321.60","323.55","327.70","328.05","326.21","330.05","177.05","4,606,412","1,502,647,014.70","53,775"
"12-Dec-2019","EQ","314.60","327.55","314.35","314.35","323.45","323.55","322.53","327.55","177.05","5,568,413","1,795,975,713.50","52,323"
"11-Dec-2019","EQ","311.50","315.50","309.35","312.85","314.35","314.35","313.05","325.30","177.05","1,854,516","580,561,589.60","29,348"
"10-Dec-2019","EQ","316.00","317.00","311.35","315.45","312.85","312.85","313.09","325.30","177.05","1,292,439","404,648,759.35","14,016"
"09-Dec-2019","EQ","312.10","317.00","311.55","313.75","315.00","315.45","315.24","325.30","177.05","1,118,398","352,563,844.65","13,741"
"06-Dec-2019","EQ","316.00","319.85","312.50","315.60","313.00","313.75","315.74","325.30","177.05","1,692,801","534,478,349.90","17,958"
"05-Dec-2019","EQ","321.30","321.95","312.50","318.90","315.80","315.60","315.45","325.30","177.05","2,887,465","910,857,407.80","31,057"
"04-Dec-2019","EQ","312.20","319.95","311.65","314.40","318.00","318.90","317.48","325.30","177.05","1,659,772","526,942,769.90","16,523"
"03-Dec-2019","EQ","316.20","316.80","310.20","316.80","313.45","314.40","313.98","325.30","177.05","1,564,692","491,275,139.55","25,634"
"02-Dec-2019","EQ","324.80","325.30","316.00","323.15","316.20","316.80","319.84","325.30","177.05","2,025,042","647,693,712.50","18,814"
"29-Nov-2019","EQ","318.00","324.90","314.55","318.70","322.60","323.15","319.86","324.90","177.05","4,891,923","1,564,709,044.70","42,713"
"28-Nov-2019","EQ","308.10","321.75","307.50","307.35","317.35","318.70","315.14","322.50","177.05","8,388,284","2,643,495,768.85","54,826"
"27-Nov-2019","EQ","301.00","308.70","298.70","299.50","308.70","307.35","303.92","322.50","177.05","2,647,248","804,546,125.15","24,011"
"26-Nov-2019","EQ","303.80","305.05","298.05","302.15","299.10","299.50","300.60","322.50","177.05","2,171,513","652,747,790.70","18,415"
"25-Nov-2019","EQ","299.90","305.65","299.05","299.60","302.50","302.15","303.04","322.50","177.05","1,483,132","449,450,801.45","16,423"
"22-Nov-2019","EQ","303.00","303.00","296.70","301.80","299.40","299.60","299.76","322.50","177.05","2,167,799","649,818,979.45","33,614"
"21-Nov-2019","EQ","306.80","311.95","300.35","306.80","302.20","301.80","307.50","322.50","177.05","2,983,373","917,394,072.25","28,286"
"20-Nov-2019","EQ","304.90","307.90","301.00","302.50","305.70","306.80","305.09","322.50","177.05","2,044,550","623,767,817.20","20,007"
"19-Nov-2019","EQ","306.45","308.40","300.90","305.30","302.50","302.50","304.37","322.50","177.05","1,672,538","509,069,771.90","25,025"
"18-Nov-2019","EQ","296.50","307.00","296.50","297.75","305.55","305.30","304.22","322.50","177.05","3,635,065","1,105,877,275.65","36,434"
"15-Nov-2019","EQ","295.55","302.50","295.55","295.50","298.95","297.75","299.51","322.50","177.05","3,644,187","1,091,470,763.10","35,662"
"14-Nov-2019","EQ","287.00","296.85","285.25","289.50","295.55","295.50","292.38","322.50","177.05","4,984,429","1,457,346,017.60","32,628"
"13-Nov-2019","EQ","296.20","296.70","287.40","294.95","289.50","289.50","291.08","322.50","177.05","2,579,434","750,830,066.35","35,716"
"11-Nov-2019","EQ","292.00","297.45","292.00","295.20","294.25","294.95","295.06","322.50","177.05","3,794,293","1,119,526,476.05","30,457"
"08-Nov-2019","EQ","299.00","299.00","294.00","300.85","294.60","295.20","296.38","322.50","177.05","4,689,759","1,389,966,219.95","29,741"
"07-Nov-2019","EQ","300.50","302.50","296.30","299.90","302.00","300.85","299.54","322.50","177.05","2,003,799","600,218,117.15","39,147"
"06-Nov-2019","EQ","300.00","305.80","299.00","300.50","299.45","299.90","301.54","322.50","177.05","3,708,046","1,118,127,768.70","28,177"
"05-Nov-2019","EQ","306.60","308.15","299.55","306.60","300.00","300.50","302.31","322.50","177.05","2,621,087","792,386,910.25","32,469"
"04-Nov-2019","EQ","305.10","312.25","301.40","304.95","307.00","306.60","308.01","322.50","177.05","5,879,974","1,811,089,680.70","49,236"
"01-Nov-2019","EQ","316.80","322.50","304.30","317.00","304.50","304.95","312.24","322.50","177.05","9,141,707","2,854,426,877.25","62,907"
"31-Oct-2019","EQ","290.00","319.80","283.70","291.75","317.00","317.00","307.19","319.80","177.05","21,060,789","6,469,744,627.75","138,477"
"30-Oct-2019","EQ","288.00","295.00","284.70","283.40","292.05","291.75","290.16","295.00","177.05","5,628,792","1,633,264,086.45","53,311"
"29-Oct-2019","EQ","281.85","288.00","278.70","279.85","287.95","283.40","281.39","288.00","177.05","2,690,746","757,150,863.05","22,927"
"27-Oct-2019","EQ","279.60","281.65","278.15","279.60","280.00","279.85","279.71","287.90","177.05","277,674","77,669,176.50","3,037"
"25-Oct-2019","EQ","281.95","281.95","277.35","281.10","277.40","279.60","279.48","287.90","177.05","1,338,263","374,013,269.40","20,526"
"24-Oct-2019","EQ","279.00","285.00","278.10","278.85","281.50","281.10","281.78","287.90","177.05","1,320,404","372,060,836.70","10,385"
"23-Oct-2019","EQ","284.00","284.60","277.00","281.75","277.20","278.85","280.80","287.90","177.05","1,218,611","342,188,738.40","13,041"
"22-Oct-2019","EQ","283.35","287.90","280.55","282.00","281.40","281.75","283.55","287.90","177.05","1,998,064","566,544,235.70","22,336"
"18-Oct-2019","EQ","279.40","285.20","275.80","279.45","281.05","282.00","280.11","287.70","177.05","3,298,797","924,012,217.35","22,999"
"17-Oct-2019","EQ","276.35","280.25","271.75","275.55","278.80","279.45","274.88","287.70","177.05","1,981,158","544,587,869.80","16,335"
"16-Oct-2019","EQ","277.90","279.00","273.70","277.75","274.60","275.55","276.43","287.70","177.05","814,304","225,098,348.75","6,575"
"15-Oct-2019","EQ","277.45","278.45","273.80","275.75","277.60","277.75","277.14","287.70","177.05","1,009,890","279,879,566.65","15,472"
"14-Oct-2019","EQ","274.00","277.80","273.00","272.05","275.50","275.75","275.59","287.70","177.05","2,040,226","562,272,036.25","15,666"
"11-Oct-2019","EQ","268.25","273.90","265.85","266.65","272.00","272.05","269.49","287.70","177.05","3,586,098","966,407,310.50","14,938"
"10-Oct-2019","EQ","269.90","272.45","265.10","269.95","266.50","266.65","268.10","287.70","177.05","880,540","236,074,270.60","6,831"
"09-Oct-2019","EQ","266.10","271.65","264.25","265.70","269.85","269.95","268.68","287.70","177.05","2,022,400","543,371,787.15","14,431"
"07-Oct-2019","EQ","267.75","269.10","262.85","266.20","265.00","265.70","266.40","287.70","177.05","1,072,461","285,706,565.40","10,455"
"04-Oct-2019","EQ","274.10","274.90","262.65","272.75","266.05","266.20","268.09","287.70","177.05","3,182,068","853,094,093.15","29,585"
"03-Oct-2019","EQ","270.00","274.35","268.50","270.65","272.40","272.75","272.37","287.70","177.05","1,509,727","411,201,691.50","22,454"
"01-Oct-2019","EQ","276.00","276.85","267.35","276.00","271.00","270.65","272.86","287.70","177.05","3,532,083","963,750,680.30","17,635"
"30-Sep-2019","EQ","281.95","281.95","275.35","281.95","276.00","276.00","277.94","287.70","177.05","2,057,195","571,775,752.40","12,158"
"27-Sep-2019","EQ","279.90","287.70","278.60","279.90","282.00","281.95","284.28","287.70","177.05","4,289,026","1,219,298,026.10","37,929"
"26-Sep-2019","EQ","281.90","284.85","277.15","279.45","279.90","279.90","280.74","284.85","177.05","4,937,972","1,386,310,665.50","40,106"
"25-Sep-2019","EQ","274.50","281.25","271.30","275.00","280.00","279.45","276.26","282.00","177.05","3,273,970","904,454,711.20","24,472"
"24-Sep-2019","EQ","274.00","277.50","271.95","273.65","275.00","275.00","274.62","282.00","177.05","2,160,946","593,442,186.55","28,495"
"23-Sep-2019","EQ","266.00","277.00","265.20","267.35","273.00","273.65","273.04","282.00","177.05","9,811,055","2,678,853,795.15","60,489"
"20-Sep-2019","EQ","254.10","270.65","249.95","254.45","267.30","267.35","263.46","282.00","177.05","4,803,062","1,265,391,900.80","41,495"
"19-Sep-2019","EQ","259.70","259.70","250.65","259.75","254.30","254.45","253.88","282.00","177.05","3,546,569","900,392,035.15","29,456"
"18-Sep-2019","EQ","258.00","261.35","253.50","256.25","260.00","259.75","258.64","282.00","177.05","2,360,120","610,426,127.70","29,030"
"17-Sep-2019","EQ","258.00","260.80","255.00","257.50","256.00","256.25","258.13","282.00","177.05","2,237,086","577,462,164.25","21,477"
"16-Sep-2019","EQ","256.50","259.40","255.70","259.00","256.85","257.50","257.56","282.00","177.05","1,044,609","269,052,935.70","12,117"
"13-Sep-2019","EQ","263.90","264.50","256.00","262.30","258.80","259.00","259.92","282.00","177.05","3,050,128","792,795,990.80","31,190"
"12-Sep-2019","EQ","259.80","263.90","258.20","259.35","263.20","262.30","261.57","282.00","177.05","2,744,024","717,764,822.40","25,448"
"11-Sep-2019","EQ","265.95","267.80","257.20","263.80","257.95","259.35","261.43","282.00","177.05","2,667,978","697,483,818.95","27,055"
"09-Sep-2019","EQ","263.50","267.35","261.70","262.75","263.65","263.80","264.36","282.00","177.05","2,640,504","698,030,604.25","21,202"
"06-Sep-2019","EQ","265.00","266.30","259.55","264.45","263.50","262.75","262.25","282.00","177.05","1,255,736","329,314,149.95","16,401"
"05-Sep-2019","EQ","268.00","269.25","263.45","267.00","264.00","264.45","266.06","282.00","177.05","1,401,218","372,805,494.10","17,554"
"04-Sep-2019","EQ","271.95","272.90","262.35","271.20","267.00","267.00","266.19","282.00","177.05","2,261,160","601,904,233.80","22,888"
"03-Sep-2019","EQ","277.00","279.60","270.20","278.50","270.75","271.20","275.29","282.00","177.05","1,619,484","445,820,944.10","22,970"
"30-Aug-2019","EQ","275.50","280.45","274.90","274.55","278.05","278.50","277.79","282.00","177.05","2,714,305","754,003,562.90","29,968"
"29-Aug-2019","EQ","281.00","282.00","271.45","280.05","275.10","274.55","275.50","282.00","177.05","4,231,503","1,165,767,117.70","43,527"
