"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2021","EQ","730.00","745.00","729.05","728.00","743.60","743.45","739.12","889.00","554.25","865,277","639,544,138.20","25,110"
"30-Dec-2021","EQ","729.00","737.85","725.30","726.65","729.10","728.00","731.54","889.00","554.25","2,230,935","1,632,015,641.50","50,679"
"29-Dec-2021","EQ","728.00","728.90","720.00","726.95","724.85","726.65","725.07","889.00","554.25","783,940","568,414,821.15","25,332"
"28-Dec-2021","EQ","722.30","729.55","719.40","718.50","726.00","726.95","725.49","889.00","554.25","819,253","594,356,564.00","25,640"
"27-Dec-2021","EQ","710.00","724.50","706.75","718.95","719.90","718.50","715.38","889.00","554.25","691,930","494,992,008.20","27,459"
"24-Dec-2021","EQ","729.00","729.00","714.00","726.75","718.00","718.95","720.02","889.00","551.00","931,510","670,704,481.75","26,621"
"23-Dec-2021","EQ","720.00","729.60","712.25","714.95","726.00","726.75","720.22","889.00","551.00","1,095,354","788,897,689.55","34,086"
"22-Dec-2021","EQ","706.20","717.55","703.80","705.70","713.65","714.95","710.55","889.00","551.00","1,035,751","735,948,476.05","34,750"
"21-Dec-2021","EQ","710.55","725.60","704.80","709.55","704.95","705.70","710.67","889.00","551.00","2,695,789","1,915,814,927.65","46,076"
"20-Dec-2021","EQ","717.45","719.55","696.60","726.35","709.45","709.55","706.39","889.00","551.00","2,520,192","1,780,226,296.15","86,980"
"17-Dec-2021","EQ","738.00","738.80","721.05","740.25","725.00","726.35","727.06","889.00","551.00","1,693,819","1,231,504,279.60","61,632"
"16-Dec-2021","EQ","747.00","750.00","735.30","746.30","742.50","740.25","739.80","889.00","551.00","1,452,909","1,074,864,413.95","59,908"
"15-Dec-2021","EQ","742.00","750.50","735.20","739.50","745.90","746.30","744.05","889.00","551.00","1,676,700","1,247,547,034.60","50,302"
"14-Dec-2021","EQ","753.00","753.95","732.40","754.10","740.00","739.50","741.18","889.00","551.00","2,333,787","1,729,747,916.80","85,102"
"13-Dec-2021","EQ","774.00","777.25","752.00","769.65","755.95","754.10","761.93","889.00","551.00","1,944,410","1,481,503,321.20","77,037"
"10-Dec-2021","EQ","781.65","781.95","765.35","777.50","769.50","769.65","769.97","889.00","551.00","1,412,794","1,087,810,794.10","38,119"
"09-Dec-2021","EQ","773.00","779.05","766.05","772.15","778.10","777.50","772.82","889.00","551.00","935,828","723,222,885.75","38,433"
"08-Dec-2021","EQ","758.60","773.65","758.60","760.70","770.90","772.15","765.55","889.00","551.00","1,002,435","767,410,197.60","49,340"
"07-Dec-2021","EQ","758.35","765.50","744.00","747.60","761.00","760.70","755.61","889.00","551.00","1,741,795","1,316,119,772.30","64,039"
"06-Dec-2021","EQ","777.00","778.00","745.55","774.30","748.25","747.60","757.92","889.00","551.00","1,654,143","1,253,711,530.05","61,177"
"03-Dec-2021","EQ","767.50","781.00","767.10","773.25","774.80","774.30","774.53","889.00","525.30","1,408,239","1,090,720,180.75","38,852"
"02-Dec-2021","EQ","772.80","780.90","763.55","772.80","773.75","773.25","770.55","889.00","525.30","1,766,820","1,361,419,395.55","66,113"
"01-Dec-2021","EQ","789.90","790.85","767.45","778.60","774.00","772.80","777.46","889.00","525.30","1,263,844","982,584,367.85","55,741"
"30-Nov-2021","EQ","765.00","789.65","764.20","766.00","781.00","778.60","778.95","889.00","525.30","3,529,356","2,749,209,131.50","82,944"
"29-Nov-2021","EQ","766.75","774.90","749.25","766.70","766.50","766.00","766.05","889.00","525.30","1,584,564","1,213,855,520.00","61,834"
"26-Nov-2021","EQ","800.20","805.00","763.15","807.80","769.90","766.70","777.03","889.00","505.05","2,616,604","2,033,173,332.90","87,806"
"25-Nov-2021","EQ","799.00","810.50","795.60","798.95","809.65","807.80","802.91","889.00","505.05","1,767,252","1,418,938,813.90","49,340"
"24-Nov-2021","EQ","824.00","830.00","796.00","820.95","798.00","798.95","810.08","889.00","505.05","1,634,131","1,323,777,007.80","68,767"
"23-Nov-2021","EQ","802.00","823.85","802.00","812.75","821.00","820.95","816.70","889.00","505.05","1,025,086","837,192,320.10","48,327"
"22-Nov-2021","EQ","832.05","839.05","807.45","832.05","809.00","812.75","824.76","889.00","505.05","1,951,384","1,609,416,659.80","71,876"
"18-Nov-2021","EQ","837.20","843.00","822.30","836.40","827.55","832.05","829.92","889.00","505.05","1,132,067","939,527,431.10","52,248"
"17-Nov-2021","EQ","833.90","847.35","832.50","833.40","834.80","836.40","839.40","889.00","505.05","1,439,354","1,208,192,721.75","58,781"
"16-Nov-2021","EQ","855.90","858.00","830.05","852.55","832.85","833.40","845.19","889.00","505.05","1,669,041","1,410,663,330.55","42,090"
"15-Nov-2021","EQ","852.50","858.00","847.45","847.90","851.00","852.55","853.46","889.00","505.05","1,190,768","1,016,274,103.45","34,065"
"12-Nov-2021","EQ","842.25","852.85","840.00","837.65","847.50","847.90","847.36","889.00","495.00","1,180,441","1,000,255,306.35","34,285"
"11-Nov-2021","EQ","842.15","842.15","823.40","842.40","838.70","837.65","832.15","889.00","495.00","1,411,243","1,174,371,960.75","34,793"
"10-Nov-2021","EQ","837.05","846.00","830.75","835.65","840.25","842.40","840.19","889.00","495.00","1,371,873","1,152,629,784.50","36,399"
"09-Nov-2021","EQ","835.90","841.50","826.00","836.35","834.50","835.65","834.46","889.00","495.00","1,481,130","1,235,937,217.95","44,352"
"08-Nov-2021","EQ","830.00","838.20","817.05","827.40","835.00","836.35","829.87","889.00","495.00","891,122","739,511,660.80","32,362"
"04-Nov-2021","EQ","834.00","834.60","826.00","826.90","828.00","827.40","828.75","889.00","488.30","175,837","145,725,571.75","10,815"
"03-Nov-2021","EQ","833.00","839.00","820.05","833.80","825.00","826.90","828.97","889.00","488.30","1,044,563","865,916,225.75","28,547"
"02-Nov-2021","EQ","827.90","836.00","822.80","824.90","833.00","833.80","831.61","889.00","488.30","1,251,565","1,040,819,961.95","29,033"
"01-Nov-2021","EQ","821.50","830.00","806.00","809.50","826.00","824.90","820.72","889.00","488.30","1,552,830","1,274,437,455.35","60,715"
"29-Oct-2021","EQ","807.00","818.50","794.15","809.70","812.00","809.50","808.69","889.00","470.15","2,220,844","1,795,984,422.75","56,127"
"28-Oct-2021","EQ","818.00","822.55","805.95","818.75","808.10","809.70","813.39","889.00","470.15","1,822,874","1,482,715,121.15","41,648"
"27-Oct-2021","EQ","812.00","821.20","809.65","808.90","816.50","818.75","816.43","889.00","470.15","1,930,632","1,576,232,737.55","45,843"
"26-Oct-2021","EQ","786.10","811.90","786.10","788.95","810.60","808.90","800.75","889.00","470.15","1,776,800","1,422,765,142.20","43,410"
"25-Oct-2021","EQ","793.00","800.60","773.60","795.25","786.25","788.95","785.82","889.00","470.15","2,954,698","2,321,851,072.65","80,656"
"22-Oct-2021","EQ","818.65","821.80","790.00","814.80","792.40","795.25","805.71","889.00","458.95","2,948,977","2,376,006,159.40","77,459"
"21-Oct-2021","EQ","837.15","838.75","808.00","826.95","817.00","814.80","819.08","889.00","458.95","2,257,911","1,849,403,425.60","60,637"
"20-Oct-2021","EQ","841.00","851.90","822.55","843.30","829.00","826.95","835.08","889.00","458.95","1,535,158","1,281,972,299.90","52,877"
"19-Oct-2021","EQ","849.00","862.00","840.10","843.95","844.00","843.30","851.81","889.00","458.95","1,915,361","1,631,527,251.25","47,813"
"18-Oct-2021","EQ","863.00","863.00","842.05","849.60","846.00","843.95","849.48","889.00","458.95","1,914,236","1,626,112,867.30","62,358"
"14-Oct-2021","EQ","859.95","860.00","846.00","848.15","847.00","849.60","852.60","889.00","458.95","2,352,197","2,005,471,819.95","61,650"
"13-Oct-2021","EQ","820.00","854.00","818.05","816.15","851.75","848.15","842.78","889.00","458.95","7,233,280","6,096,088,154.25","125,906"
"12-Oct-2021","EQ","817.50","823.00","813.60","816.25","818.00","816.15","817.46","889.00","458.95","1,246,493","1,018,960,975.90","39,430"
"11-Oct-2021","EQ","821.40","826.50","813.00","818.75","818.00","816.25","818.17","889.00","458.95","1,772,719","1,450,377,535.60","40,374"
"08-Oct-2021","EQ","826.90","828.95","812.45","824.55","818.00","818.75","819.98","889.00","458.95","1,747,911","1,433,259,978.00","51,108"
"07-Oct-2021","EQ","828.00","830.70","821.35","820.65","825.00","824.55","825.68","889.00","458.95","1,500,439","1,238,880,449.30","37,842"
"06-Oct-2021","EQ","809.35","834.00","803.00","801.45","821.35","820.65","822.50","889.00","458.95","5,215,518","4,289,785,709.30","114,733"
"05-Oct-2021","EQ","815.00","819.20","799.70","814.30","803.25","801.45","804.13","889.00","458.95","3,499,870","2,814,337,580.05","84,504"
"04-Oct-2021","EQ","805.05","817.25","801.75","801.25","817.25","814.30","810.92","889.00","458.95","1,709,463","1,386,229,822.10","63,460"
"01-Oct-2021","EQ","812.90","820.00","796.00","813.60","801.25","801.25","803.65","889.00","458.95","1,989,799","1,599,092,138.10","69,777"
"30-Sep-2021","EQ","823.00","823.95","810.85","823.45","812.90","813.60","816.00","889.00","458.95","1,622,014","1,323,561,236.95","53,605"
"29-Sep-2021","EQ","824.50","829.40","811.00","822.70","822.90","823.45","820.92","889.00","458.95","2,156,442","1,770,257,745.65","57,577"
"28-Sep-2021","EQ","837.00","837.40","817.00","835.05","822.50","822.70","824.46","889.00","458.95","1,933,307","1,593,933,988.25","55,167"
"27-Sep-2021","EQ","837.10","842.40","829.00","836.75","834.00","835.05","835.25","889.00","458.95","1,433,229","1,197,099,935.20","51,946"
"24-Sep-2021","EQ","850.65","852.00","834.00","850.65","836.90","836.75","840.04","889.00","458.95","2,846,056","2,390,813,431.35","63,558"
"23-Sep-2021","EQ","857.15","859.75","849.05","854.15","850.00","850.65","852.88","889.00","458.95","1,464,265","1,248,845,808.35","37,521"
"22-Sep-2021","EQ","862.00","863.35","851.90","858.90","854.70","854.15","856.15","889.00","458.95","982,114","840,837,665.15","27,948"
"21-Sep-2021","EQ","855.00","864.45","851.00","857.00","859.85","858.90","858.08","889.00","458.95","1,478,291","1,268,493,605.75","33,920"
"20-Sep-2021","EQ","870.05","876.95","855.00","874.15","857.45","857.00","865.48","889.00","458.95","1,081,450","935,969,146.15","45,883"
"17-Sep-2021","EQ","879.90","881.00","866.30","874.00","872.65","874.15","873.66","889.00","458.95","1,829,129","1,598,031,561.45","36,062"
"16-Sep-2021","EQ","873.50","883.00","871.35","871.55","874.95","874.00","875.72","889.00","458.95","1,294,536","1,133,647,571.25","37,571"
"15-Sep-2021","EQ","885.00","887.40","870.50","881.30","872.90","871.55","875.43","889.00","458.95","1,945,751","1,703,366,208.85","50,490"
"14-Sep-2021","EQ","884.80","885.90","877.60","882.10","880.20","881.30","881.85","889.00","458.95","622,424","548,887,241.60","24,422"
"13-Sep-2021","EQ","876.80","884.00","870.70","875.60","880.10","882.10","878.67","889.00","458.95","1,064,009","934,908,354.20","34,302"
"09-Sep-2021","EQ","875.00","887.55","872.55","879.80","874.90","875.60","878.41","889.00","458.95","1,685,368","1,480,443,810.50","47,194"
"08-Sep-2021","EQ","874.30","881.35","855.55","868.30","879.00","879.80","870.25","889.00","458.95","1,601,842","1,394,007,844.65","44,255"
"07-Sep-2021","EQ","870.00","889.00","864.95","870.05","866.95","868.30","878.37","889.00","458.95","2,840,271","2,494,819,725.10","74,434"
"06-Sep-2021","EQ","869.85","877.65","863.00","869.85","869.00","870.05","871.11","877.65","458.95","985,142","858,168,608.75","30,190"
"03-Sep-2021","EQ","873.55","873.55","862.15","871.45","868.05","869.85","867.45","875.00","458.95","1,075,187","932,675,911.00","42,900"
"02-Sep-2021","EQ","866.40","875.00","862.05","867.45","870.65","871.45","871.23","875.00","458.95","1,314,628","1,145,348,602.65","42,872"
"01-Sep-2021","EQ","871.10","874.70","852.30","864.95","865.40","867.45","865.49","874.70","458.95","2,051,666","1,775,690,938.85","48,457"
"31-Aug-2021","EQ","862.00","867.70","856.45","860.50","866.75","864.95","862.94","867.70","458.95","2,132,008","1,839,803,306.75","43,049"
"30-Aug-2021","EQ","850.00","862.75","850.00","847.95","859.00","860.50","857.49","862.75","458.95","1,875,514","1,608,225,341.55","34,213"
"27-Aug-2021","EQ","853.95","860.90","844.00","853.30","846.35","847.95","851.11","860.90","458.95","2,366,396","2,014,072,853.95","55,437"
"26-Aug-2021","EQ","842.00","856.80","834.55","836.00","854.50","853.30","846.39","856.80","458.95","2,464,570","2,085,989,327.45","56,223"
"25-Aug-2021","EQ","836.10","850.65","833.25","836.90","839.45","836.00","841.82","852.40","458.95","1,777,820","1,496,600,999.80","45,848"
"24-Aug-2021","EQ","833.50","840.45","827.00","832.50","838.30","836.90","833.90","852.40","458.95","1,170,096","975,742,918.00","36,956"
"23-Aug-2021","EQ","849.65","849.70","823.00","847.30","834.00","832.50","833.49","852.40","458.95","2,161,681","1,801,737,956.00","59,661"
"20-Aug-2021","EQ","832.95","852.40","826.70","841.40","839.60","847.30","841.84","852.40","458.95","3,782,381","3,184,170,878.45","84,585"
